tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37150,7947,8340121,143209,2017-08-01 16:23:56+00:00
892177421306343426,31955,5901,8340121,143209,2017-08-01 00:17:27+00:00
891815181378084864,24065,3902,8340121,143209,2017-07-31 00:18:03+00:00
891689557279858688,40472,8099,8340121,143209,2017-07-30 15:58:51+00:00
891327558926688256,38705,8785,8340121,143209,2017-07-29 16:00:24+00:00
891087950875897856,19455,2920,8340121,143209,2017-07-29 00:08:17+00:00
890971913173991426,11347,1939,8340121,143209,2017-07-28 16:27:12+00:00
890729181411237888,62668,17714,8340121,143209,2017-07-28 00:22:40+00:00
890609185150312448,26751,4021,8340121,143209,2017-07-27 16:25:51+00:00
890240255349198849,30651,6913,8340122,143209,2017-07-26 15:59:51+00:00
890006608113172480,29491,6880,8340122,143209,2017-07-26 00:31:25+00:00
889880896479866881,26753,4687,8340122,143209,2017-07-25 16:11:53+00:00
889665388333682689,46175,9426,8340121,143209,2017-07-25 01:55:32+00:00
889638837579907072,26022,4226,8340121,143209,2017-07-25 00:10:02+00:00
889531135344209921,14527,2117,8340121,143209,2017-07-24 17:02:04+00:00
889278841981685760,24230,5029,8340121,143209,2017-07-24 00:19:32+00:00
888917238123831296,27980,4225,8340121,143209,2017-07-23 00:22:39+00:00
888804989199671297,24571,3997,8340121,143209,2017-07-22 16:56:37+00:00
888554962724278272,19014,3301,8340121,143209,2017-07-22 00:23:06+00:00
888078434458587136,20905,3268,8340121,143209,2017-07-20 16:49:33+00:00
887705289381826560,29011,5052,8340121,143209,2017-07-19 16:06:48+00:00
887517139158093824,44507,11019,8340121,143209,2017-07-19 03:39:09+00:00
887473957103951883,66179,16938,8340121,143209,2017-07-19 00:47:34+00:00
887343217045368832,32343,9818,8340121,143209,2017-07-18 16:08:03+00:00
887101392804085760,29372,5597,8340121,143209,2017-07-18 00:07:08+00:00
886983233522544640,33682,7218,8340121,143209,2017-07-17 16:17:36+00:00
886736880519319552,11555,3043,8340121,143209,2017-07-16 23:58:41+00:00
886680336477933568,21544,4186,8340121,143209,2017-07-16 20:14:00+00:00
886366144734445568,20324,2996,8340121,143209,2017-07-15 23:25:31+00:00
886267009285017600,116,4,8340121,143209,2017-07-15 16:51:35+00:00
886258384151887873,26878,5929,8340121,143209,2017-07-15 16:17:19+00:00
886054160059072513,0,104,8340121,143209,2017-07-15 02:45:48+00:00
885984800019947520,31331,6340,8340121,143209,2017-07-14 22:10:11+00:00
885528943205470208,34564,6017,8340122,143209,2017-07-13 15:58:47+00:00
885518971528720385,19655,3504,8340122,143209,2017-07-13 15:19:09+00:00
885311592912609280,0,17410,8340122,143209,2017-07-13 01:35:06+00:00
885167619883638784,21045,4112,8340122,143209,2017-07-12 16:03:00+00:00
884925521741709313,74289,17033,8340122,143209,2017-07-12 00:01:00+00:00
884876753390489601,26798,5267,8340122,143209,2017-07-11 20:47:12+00:00
