,tweet_id,favorites,retweets,user_followers,user_favourites,date_time
71,878604707211726852,29069,6733,8309116,142727,2017-06-24 13:24:20+00:00
72,878404777348136964,0,1220,8309116,142727,2017-06-24 00:09:53+00:00
73,878316110768087041,0,6301,8309116,142727,2017-06-23 18:17:33+00:00
74,878281511006478336,7441,1220,8309116,142727,2017-06-23 16:00:04+00:00
75,878057613040115712,40515,6428,8309116,142727,2017-06-23 01:10:23+00:00
76,877736472329191424,76626,17976,8309116,142727,2017-06-22 03:54:17+00:00
77,877611172832227328,0,77,8309116,142727,2017-06-21 19:36:23+00:00
78,877556246731214848,21878,3603,8309116,142727,2017-06-21 15:58:08+00:00
79,877316821321428993,26382,4892,8309117,142727,2017-06-21 00:06:44+00:00
80,877201837425926144,26128,5280,8309117,142727,2017-06-20 16:29:50+00:00
81,876838120628539392,19962,3156,8309117,142727,2017-06-19 16:24:33+00:00
82,876537666061221889,22734,4414,8309117,142727,2017-06-18 20:30:39+00:00
83,876484053909872640,18082,2257,8309117,142727,2017-06-18 16:57:37+00:00
84,876120275196170240,26934,4425,8309117,142727,2017-06-17 16:52:05+00:00
85,875747767867523072,24264,4036,8309117,142727,2017-06-16 16:11:53+00:00
86,875144289856114688,21149,4665,8309117,142727,2017-06-15 00:13:52+00:00
87,875097192612077568,26455,5753,8309117,142727,2017-06-14 21:06:43+00:00
88,875021211251597312,24570,4474,8309117,142727,2017-06-14 16:04:48+00:00
89,874680097055178752,26852,4394,8309117,142727,2017-06-13 17:29:20+00:00
90,874434818259525634,0,13829,8309117,142727,2017-06-13 01:14:41+00:00
91,874296783580663808,25132,3903,8309117,142727,2017-06-12 16:06:11+00:00
92,874057562936811520,21920,3758,8309118,142727,2017-06-12 00:15:36+00:00
93,874012996292530176,33294,9783,8309118,142727,2017-06-11 21:18:31+00:00
94,873580283840344065,23380,3734,8309118,142727,2017-06-10 16:39:04+00:00
95,873337748698140672,0,1511,8309118,142727,2017-06-10 00:35:19+00:00
96,873213775632977920,6956,1511,8309118,142727,2017-06-09 16:22:42+00:00
97,872967104147763200,26358,5139,8309118,142727,2017-06-09 00:02:31+00:00
98,872820683541237760,14230,3527,8309119,142727,2017-06-08 14:20:41+00:00
99,872620804844003328,20067,3483,8309119,142727,2017-06-08 01:06:27+00:00
100,872486979161796608,39376,8587,8309119,142727,2017-06-07 16:14:40+00:00
101,872122724285648897,33263,7728,8309119,142727,2017-06-06 16:07:15+00:00
102,871879754684805121,36569,10532,8309119,142727,2017-06-06 00:01:46+00:00
103,871762521631449091,19606,3319,8309119,142727,2017-06-05 16:15:56+00:00
104,871515927908634625,19521,3301,8309119,142727,2017-06-04 23:56:03+00:00
105,871166179821445120,0,5447,8309119,142727,2017-06-04 00:46:17+00:00
106,871102520638267392,20277,5258,8309119,142727,2017-06-03 20:33:19+00:00
107,871032628920680449,21986,3642,8309119,142727,2017-06-03 15:55:36+00:00
108,870804317367881728,32612,5917,8309119,142727,2017-06-03 00:48:22+00:00
109,870726314365509632,118,3,8309119,142727,2017-06-02 19:38:25+00:00
110,870656317836468226,12018,2529,8309119,142727,2017-06-02 15:00:16+00:00
111,870374049280663552,80363,25270,8309120,142727,2017-06-01 20:18:38+00:00
112,870308999962521604,21232,3979,8309121,142727,2017-06-01 16:00:09+00:00
113,870063196459192321,35534,7961,8309122,142727,2017-05-31 23:43:25+00:00
114,869772420881756160,41276,9670,8309122,142727,2017-05-31 04:27:59+00:00
115,869702957897576449,27433,6058,8309122,142727,2017-05-30 23:51:58+00:00
116,869596645499047938,15530,3005,8309122,142727,2017-05-30 16:49:31+00:00
117,869227993411051520,19858,3629,8309122,142727,2017-05-29 16:24:37+00:00
118,868880397819494401,63729,13865,8309122,142727,2017-05-28 17:23:24+00:00
119,868639477480148993,0,2000,8309123,142727,2017-05-28 01:26:04+00:00
120,868622495443632128,26002,5102,8309123,142727,2017-05-28 00:18:35+00:00
121,868552278524837888,9843,2000,8309123,142727,2017-05-27 19:39:34+00:00
122,867900495410671616,23574,4025,8309123,142727,2017-05-26 00:29:37+00:00
123,867774946302451713,33072,7074,8309123,142727,2017-05-25 16:10:44+00:00
124,867421006826221569,15697,2406,8309124,142727,2017-05-24 16:44:18+00:00
125,867072653475098625,0,118,8309124,142727,2017-05-23 17:40:04+00:00
126,867051520902168576,31438,7596,8309124,142727,2017-05-23 16:16:06+00:00
127,866720684873056260,19556,4627,8309123,142727,2017-05-22 18:21:28+00:00
128,866686824827068416,18816,3353,8309123,142727,2017-05-22 16:06:55+00:00
129,866450705531457537,119454,34034,8309123,142727,2017-05-22 00:28:40+00:00
130,866334964761202691,51275,13829,8309123,142727,2017-05-21 16:48:45+00:00
131,866094527597207552,0,8102,8309123,142727,2017-05-21 00:53:21+00:00
132,865718153858494464,25072,5444,8309123,142727,2017-05-19 23:57:46+00:00
133,865359393868664832,25888,4841,8309123,142727,2017-05-19 00:12:11+00:00
134,865006731092295680,27399,7441,8309123,142727,2017-05-18 00:50:50+00:00
135,864873206498414592,31575,8421,8309123,142727,2017-05-17 16:00:15+00:00
136,864279568663928832,14286,2931,8309123,142727,2017-05-16 00:41:21+00:00
137,864197398364647424,29460,8612,8309124,142727,2017-05-15 19:14:50+00:00
138,863907417377173506,20192,4005,8309124,142727,2017-05-15 00:02:33+00:00
139,863553081350529029,14980,4065,8309124,142727,2017-05-14 00:34:33+00:00
140,863471782782697472,0,2367,8309124,142727,2017-05-13 19:11:30+00:00
141,863432100342583297,23355,5089,8309124,142727,2017-05-13 16:33:49+00:00
142,863427515083354112,2193,94,8309124,142727,2017-05-13 16:15:35+00:00
143,863079547188785154,8596,1076,8309124,142727,2017-05-12 17:12:53+00:00
144,863062471531167744,8317,2367,8309124,142727,2017-05-12 16:05:02+00:00
145,862831371563274240,18808,5007,8309124,142727,2017-05-12 00:46:44+00:00
146,862722525377298433,16759,3439,8309124,142727,2017-05-11 17:34:13+00:00
147,862457590147678208,20108,4813,8309124,142727,2017-05-11 00:01:27+00:00
148,862096992088072192,73095,22580,8309124,142727,2017-05-10 00:08:34+00:00
149,861383897657036800,35491,10442,8309125,142727,2017-05-08 00:54:59+00:00
150,861288531465048066,16915,4036,8309125,142727,2017-05-07 18:36:02+00:00
151,861005113778896900,16431,3724,8309125,142727,2017-05-06 23:49:50+00:00
152,860981674716409858,0,2104,8309125,142727,2017-05-06 22:16:42+00:00
153,860924035999428608,0,790,8309126,142727,2017-05-06 18:27:40+00:00
154,860563773140209665,7396,2104,8309126,142727,2017-05-05 18:36:06+00:00
155,860524505164394496,23279,5169,8309126,142727,2017-05-05 16:00:04+00:00
156,860276583193509888,18053,3412,8308455,142726,2017-05-04 23:34:55+00:00
157,860184849394610176,16421,5721,8309125,142727,2017-05-04 17:30:24+00:00
158,860177593139703809,0,30275,8309125,142727,2017-05-04 17:01:34+00:00
159,859924526012018688,19294,4007,8309125,142727,2017-05-04 00:15:58+00:00
160,859851578198683649,15207,3441,8309125,142727,2017-05-03 19:26:06+00:00
161,859607811541651456,18336,1535,8309125,142727,2017-05-03 03:17:27+00:00
162,859196978902773760,88715,29557,8309125,142727,2017-05-02 00:04:57+00:00
163,859074603037188101,33439,13349,8309125,142727,2017-05-01 15:58:40+00:00
164,858860390427611136,0,7989,8309125,142727,2017-05-01 01:47:28+00:00
165,858843525470990336,15367,3431,8309125,142727,2017-05-01 00:40:27+00:00
166,858471635011153920,21258,4774,8309125,142727,2017-04-30 00:02:42+00:00
167,858107933456039936,15557,2867,8309125,142727,2017-04-28 23:57:28+00:00
168,857989990357356544,15951,2553,8309125,142727,2017-04-28 16:08:49+00:00
169,857746408056729600,33894,10462,8309125,142727,2017-04-28 00:00:54+00:00
170,857393404942143489,5839,1618,8309125,142727,2017-04-27 00:38:11+00:00
171,857263160327368704,19842,4452,8309125,142727,2017-04-26 16:00:39+00:00
172,857214891891077121,226,17,8309125,142727,2017-04-26 12:48:51+00:00
173,857062103051644929,0,169,8309125,142727,2017-04-26 02:41:43+00:00
174,857029823797047296,18759,3956,8309125,142727,2017-04-26 00:33:27+00:00
175,856543823941562368,16155,2850,8309125,142727,2017-04-24 16:22:16+00:00
176,856526610513747968,11773,1858,8309125,142727,2017-04-24 15:13:52+00:00
177,856330835276025856,0,657,8309125,142727,2017-04-24 02:15:55+00:00
178,856288084350160898,512,16,8309125,142727,2017-04-23 23:26:03+00:00
179,856282028240666624,27560,6222,8309125,142727,2017-04-23 23:01:59+00:00
180,855862651834028034,342,27,8309125,142727,2017-04-22 19:15:32+00:00
181,855860136149123072,4960,999,8309125,142727,2017-04-22 19:05:32+00:00
182,855857698524602368,11798,2098,8309126,142727,2017-04-22 18:55:51+00:00
183,855851453814013952,45349,17775,8309125,142727,2017-04-22 18:31:02+00:00
184,855818117272018944,26508,5392,8309125,142727,2017-04-22 16:18:34+00:00
185,855459453768019968,29780,8163,8309126,142727,2017-04-21 16:33:22+00:00
186,855245323840757760,0,5931,8309126,142727,2017-04-21 02:22:29+00:00
187,855138241867124737,0,44,8309126,142727,2017-04-20 19:16:59+00:00
188,854732716440526848,22769,6033,8309126,142727,2017-04-19 16:25:34+00:00
189,854482394044301312,29252,6857,8309126,142727,2017-04-18 23:50:52+00:00
190,854365224396361728,18869,4669,8309126,142727,2017-04-18 16:05:17+00:00
191,854120357044912130,31978,7466,8309126,142727,2017-04-17 23:52:16+00:00
192,854010172552949760,16207,3153,8309126,142727,2017-04-17 16:34:26+00:00
193,853760880890318849,28612,5745,8309126,142727,2017-04-17 00:03:50+00:00
194,853639147608842240,34850,10091,8309126,142727,2017-04-16 16:00:07+00:00
195,853299958564483072,15548,3557,8309125,142727,2017-04-15 17:32:18+00:00
196,852936405516943360,0,2009,8309126,142727,2017-04-14 17:27:40+00:00
197,852912242202992640,9097,1832,8309126,142727,2017-04-14 15:51:39+00:00
198,852672615818899456,14977,2158,8309127,142727,2017-04-13 23:59:28+00:00
199,852553447878664193,16406,3510,8309127,142727,2017-04-13 16:05:56+00:00
200,852311364735569921,33296,9965,8309127,142727,2017-04-13 00:03:59+00:00
201,852226086759018497,20111,6868,8309127,142727,2017-04-12 18:25:07+00:00
202,852189679701164033,11518,1592,8309127,142727,2017-04-12 16:00:27+00:00
203,851861385021730816,0,20,8309127,142727,2017-04-11 18:15:55+00:00
204,851591660324737024,16358,3501,8309127,142727,2017-04-11 00:24:08+00:00
205,851464819735769094,24413,7111,8309127,142727,2017-04-10 16:00:07+00:00
